"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Vermilion County, IL"	"17183"	19	77909	Unreliable	0.0%
	"Will County, IL"	"17197"	125	692661	18.0	0.3%
	"Williamson County, IL"	"17199"	14	67328	Unreliable	0.0%
	"Winnebago County, IL"	"17201"	85	284778	29.8	0.2%
	"Allen County, IN"	"18003"	42	372877	11.3	0.1%
	"Bartholomew County, IN"	"18005"	17	82040	Unreliable	0.0%
	"Clark County, IN"	"18019"	29	116973	24.8	0.1%
	"Delaware County, IN"	"18035"	10	115184	Unreliable	0.0%
	"Elkhart County, IN"	"18039"	19	205032	Unreliable	0.0%
	"Fayette County, IN"	"18041"	12	23209	Unreliable	0.0%
	"Floyd County, IN"	"18043"	27	77071	35.0	0.1%
	"Hamilton County, IN"	"18057"	36	323747	11.1	0.1%
	"Hendricks County, IN"	"18063"	22	163685	13.4	0.0%
	"Howard County, IN"	"18067"	23	82363	27.9	0.0%
	"Jackson County, IN"	"18071"	12	43884	Unreliable	0.0%
	"Jay County, IN"	"18075"	11	20945	Unreliable	0.0%
	"Kosciusko County, IN"	"18085"	14	79206	Unreliable	0.0%
	"Lake County, IN"	"18089"	118	485640	24.3	0.2%
	"La Porte County, IN"	"18091"	13	110029	Unreliable	0.0%
	"Madison County, IN"	"18095"	32	129498	24.7	0.1%
	"Marion County, IN"	"18097"	218	950082	22.9	0.5%
	"Monroe County, IN"	"18105"	17	146986	Unreliable	0.0%
	"Montgomery County, IN"	"18107"	10	38525	Unreliable	0.0%
	"Morgan County, IN"	"18109"	13	69713	Unreliable	0.0%
	"Porter County, IN"	"18127"	36	168404	21.4	0.1%
	"Randolph County, IN"	"18135"	15	24922	Unreliable	0.0%
	"St. Joseph County, IN"	"18141"	60	270434	22.2	0.1%
	"Starke County, IN"	"18149"	15	22893	Unreliable	0.0%
	"Tippecanoe County, IN"	"18157"	21	190587	11.0	0.0%
	"Vanderburgh County, IN"	"18163"	44	181616	24.2	0.1%
	"Wabash County, IN"	"18169"	11	31443	Unreliable	0.0%
	"Wayne County, IN"	"18177"	55	66185	83.1	0.1%
	"Linn County, IA"	"19113"	19	224115	Unreliable	0.0%
	"Polk County, IA"	"19153"	63	481830	13.1	0.1%
	"Scott County, IA"	"19163"	18	172509	Unreliable	0.0%
	"Douglas County, KS"	"20045"	11	120793	Unreliable	0.0%
	"Johnson County, KS"	"20091"	29	591178	4.9	0.1%
	"Sedgwick County, KS"	"20173"	37	513687	7.2	0.1%
	"Shawnee County, KS"	"20177"	11	178187	Unreliable	0.0%
	"Anderson County, KY"	"21005"	10	22544	Unreliable	0.0%
	"Boone County, KY"	"21015"	36	130728	27.5	0.1%
	"Boyd County, KY"	"21019"	27	47979	56.3	0.1%
	"Bullitt County, KY"	"21029"	29	80246	36.1	0.1%
	"Campbell County, KY"	"21037"	65	92488	70.3	0.1%
	"Carter County, KY"	"21043"	12	27144	Unreliable	0.0%
	"Clark County, KY"	"21049"	11	36046	Unreliable	0.0%
	"Fayette County, KY"	"21067"	113	321959	35.1	0.2%
	"Floyd County, KY"	"21071"	10	36271	Unreliable	0.0%
	"Franklin County, KY"	"21073"	21	50485	41.6	0.0%
