Total Pop,Total Male Pop,Male 18-24 <9th,Male 18-24 no diploma,Male 18-24 HS grad or equiv,"Male 18-24 Some college, no degree",Male 18-24 Associates,Male 18-24 Bachelors,Male 18-24 Grad or Professional,Total Female Pop,Female 18-24 <9th,Female 18-24 no diploma,Female 18-24 HS grad or equiv,"Female 18-24 Some college, no degree",Female 18-24 Associates,Female 18-24 Bachelors,Female 18-24 Grad or Professional,25+ no schooling,25+ nursery school,25+ Kindergarten,25+ 1st grade,25+ 2nd grade,25+ 3rd grade,25+ 4th grade,25+ 5th grade,25+ 6th grade,25+ 7th grade,25+ 8th grade,25+ 9th grade,25+ 10th grade,25+ 11th grade,25+ 12th grade no diploma,25+ high school diploma,25+ GED or equivalent,25+ some college <1 yr,25+ some college >1 yr no degree,25+ Associates Degree,25+ Bachelors Degree,25+ Masters Degree,25+ Professional Degree,25+ PhD,County Name,County Code,state
43314.0,34438.0,55.0,260.0,387.0,1099.0,197.0,135.0,18.0,1952.0,14.0,160.0,316.0,1103.0,134.0,225.0,0.0,861.0,8.0,0.0,163.0,451.0,655.0,543.0,363.0,991.0,904.0,1118.0,1383.0,373.0,955.0,217.0,8092.0,533.0,169.0,3642.0,2547.0,4572.0,1584.0,106.0,105.0,"Isabela Municipio, Puerto Rico",071,72
15297.0,11683.0,5.0,193.0,286.0,339.0,16.0,44.0,0.0,766.0,44.0,53.0,184.0,446.0,26.0,13.0,0.0,266.0,0.0,0.0,34.0,100.0,261.0,415.0,130.0,360.0,221.0,155.0,369.0,167.0,91.0,51.0,3190.0,421.0,87.0,1339.0,648.0,1163.0,518.0,9.0,39.0,"Jayuya Municipio, Puerto Rico",073,72
27321.0,21695.0,66.0,167.0,347.0,679.0,69.0,27.0,0.0,1266.0,41.0,203.0,225.0,611.0,102.0,84.0,0.0,611.0,0.0,22.0,181.0,373.0,601.0,741.0,604.0,924.0,699.0,539.0,1080.0,351.0,488.0,267.0,3877.0,361.0,86.0,2564.0,1339.0,2733.0,544.0,62.0,27.0,"Lares Municipio, Puerto Rico",081,72
38253.0,29823.0,107.0,239.0,490.0,665.0,125.0,121.0,0.0,1815.0,0.0,155.0,510.0,854.0,130.0,166.0,0.0,271.0,15.0,0.0,66.0,220.0,392.0,505.0,321.0,837.0,422.0,630.0,1014.0,542.0,520.0,102.0,7274.0,599.0,373.0,4337.0,2621.0,3697.0,1213.0,188.0,102.0,"Las Piedras Municipio, Puerto Rico",085,72
51768.0,40957.0,93.0,138.0,934.0,1176.0,197.0,183.0,0.0,2561.0,91.0,103.0,677.0,1142.0,277.0,252.0,19.0,790.0,0.0,13.0,222.0,79.0,482.0,671.0,354.0,1116.0,675.0,860.0,1615.0,657.0,796.0,381.0,10250.0,1631.0,529.0,3372.0,4121.0,5307.0,1367.0,171.0,216.0,"Río Grande Municipio, Puerto Rico",119,72
355181.0,286179.0,551.0,1718.0,4828.0,6777.0,1169.0,1559.0,62.0,17941.0,385.0,1394.0,4648.0,8192.0,1294.0,1863.0,165.0,5607.0,42.0,64.0,623.0,1488.0,2435.0,3867.0,2623.0,4891.0,3779.0,7074.0,7447.0,3681.0,4792.0,2864.0,50330.0,3850.0,4537.0,23699.0,28537.0,53804.0,19736.0,10672.0,5132.0,"San Juan Municipio, Puerto Rico",127,72
38589.0,29772.0,136.0,97.0,621.0,718.0,249.0,95.0,0.0,1929.0,120.0,233.0,519.0,673.0,277.0,107.0,0.0,488.0,0.0,0.0,156.0,225.0,464.0,555.0,324.0,743.0,500.0,693.0,1111.0,669.0,1018.0,891.0,6544.0,485.0,499.0,2868.0,2616.0,3312.0,1377.0,133.0,256.0,"Vega Alta Municipio, Puerto Rico",143,72
54754.0,42989.0,97.0,397.0,607.0,1182.0,422.0,17.0,0.0,2592.0,80.0,496.0,516.0,820.0,502.0,178.0,0.0,1085.0,0.0,0.0,178.0,191.0,565.0,992.0,880.0,1161.0,1047.0,1072.0,1231.0,613.0,1290.0,3436.0,6091.0,720.0,1521.0,3269.0,4706.0,5456.0,1724.0,163.0,284.0,"Vega Baja Municipio, Puerto Rico",145,72
6180.0,4887.0,9.0,67.0,111.0,101.0,0.0,38.0,0.0,306.0,5.0,17.0,133.0,93.0,46.0,12.0,0.0,214.0,0.0,0.0,57.0,86.0,111.0,113.0,72.0,292.0,147.0,215.0,558.0,142.0,107.0,6.0,1187.0,139.0,22.0,126.0,229.0,321.0,77.0,17.0,17.0,"Maricao Municipio, Puerto Rico",093,72
24008.0,19027.0,12.0,56.0,609.0,389.0,59.0,37.0,0.0,1130.0,15.0,0.0,394.0,546.0,91.0,84.0,0.0,547.0,12.0,0.0,55.0,125.0,292.0,249.0,126.0,701.0,208.0,548.0,767.0,226.0,336.0,120.0,5574.0,313.0,349.0,1723.0,1233.0,2330.0,755.0,52.0,94.0,"Aibonito Municipio, Puerto Rico",009,72
19578.0,15182.0,108.0,70.0,245.0,357.0,125.0,0.0,0.0,927.0,11.0,53.0,83.0,599.0,144.0,37.0,0.0,285.0,13.0,9.0,97.0,85.0,229.0,254.0,220.0,483.0,254.0,311.0,587.0,423.0,277.0,114.0,3587.0,280.0,135.0,1132.0,1561.0,2423.0,401.0,76.0,114.0,"Guayanilla Municipio, Puerto Rico",059,72
39704.0,30541.0,26.0,171.0,619.0,847.0,260.0,73.0,0.0,2031.0,20.0,83.0,600.0,1027.0,189.0,112.0,0.0,431.0,0.0,0.0,209.0,161.0,512.0,321.0,418.0,1331.0,960.0,730.0,1142.0,256.0,426.0,67.0,6480.0,1494.0,339.0,2322.0,3530.0,4008.0,1182.0,83.0,112.0,"Juncos Municipio, Puerto Rico",077,72
