STCOUNTYFP,County,Deaths,Population,Crude Rate,% of Total Deaths
17031,"Cook County, IL",1032,5211263,19.8,2.20%
17037,"DeKalb County, IL",16,104733,Unreliable,0.00%
17043,"DuPage County, IL",120,930128,12.9,0.30%
17055,"Franklin County, IL",12,39041,Unreliable,0.00%
17083,"Jersey County, IL",12,21941,Unreliable,0.00%
17089,"Kane County, IL",70,534667,13.1,0.10%
17091,"Kankakee County, IL",25,109605,22.8,0.10%
17093,"Kendall County, IL",14,126218,Unreliable,0.00%
17097,"Lake County, IL",55,703520,7.8,0.10%
17099,"LaSalle County, IL",34,110067,30.9,0.10%
17111,"McHenry County, IL",76,309122,24.6,0.20%
17113,"McLean County, IL",26,172290,15.1,0.10%
17115,"Macon County, IL",11,105801,Unreliable,0.00%
17119,"Madison County, IL",84,265428,31.6,0.20%
17143,"Peoria County, IL",47,183011,25.7,0.10%
17161,"Rock Island County, IL",19,144808,Unreliable,0.00%
17163,"St. Clair County, IL",21,262479,8,0.00%
17167,"Sangamon County, IL",39,196452,19.9,0.10%
17179,"Tazewell County, IL",29,133526,21.7,0.10%
17183,"Vermilion County, IL",19,77909,Unreliable,0.00%
17197,"Will County, IL",125,692661,18,0.30%
17199,"Williamson County, IL",14,67328,Unreliable,0.00%
17201,"Winnebago County, IL",85,284778,29.8,0.20%
18003,"Allen County, IN",42,372877,11.3,0.10%
18005,"Bartholomew County, IN",17,82040,Unreliable,0.00%
18019,"Clark County, IN",29,116973,24.8,0.10%
18035,"Delaware County, IN",10,115184,Unreliable,0.00%
18039,"Elkhart County, IN",19,205032,Unreliable,0.00%
18041,"Fayette County, IN",12,23209,Unreliable,0.00%
18043,"Floyd County, IN",27,77071,35,0.10%
18057,"Hamilton County, IN",36,323747,11.1,0.10%
18063,"Hendricks County, IN",22,163685,13.4,0.00%
18067,"Howard County, IN",23,82363,27.9,0.00%
18071,"Jackson County, IN",12,43884,Unreliable,0.00%
18075,"Jay County, IN",11,20945,Unreliable,0.00%
18085,"Kosciusko County, IN",14,79206,Unreliable,0.00%
18089,"Lake County, IN",118,485640,24.3,0.20%
18091,"La Porte County, IN",13,110029,Unreliable,0.00%
18095,"Madison County, IN",32,129498,24.7,0.10%
18097,"Marion County, IN",218,950082,22.9,0.50%
18105,"Monroe County, IN",17,146986,Unreliable,0.00%
18107,"Montgomery County, IN",10,38525,Unreliable,0.00%
18109,"Morgan County, IN",13,69713,Unreliable,0.00%
18127,"Porter County, IN",36,168404,21.4,0.10%
18135,"Randolph County, IN",15,24922,Unreliable,0.00%
18141,"St. Joseph County, IN",60,270434,22.2,0.10%
18149,"Starke County, IN",15,22893,Unreliable,0.00%
18157,"Tippecanoe County, IN",21,190587,11,0.00%
18163,"Vanderburgh County, IN",44,181616,24.2,0.10%
18169,"Wabash County, IN",11,31443,Unreliable,0.00%
18177,"Wayne County, IN",55,66185,83.1,0.10%
19113,"Linn County, IA",19,224115,Unreliable,0.00%
19153,"Polk County, IA",63,481830,13.1,0.10%
19163,"Scott County, IA",18,172509,Unreliable,0.00%
20045,"Douglas County, KS",11,120793,Unreliable,0.00%
20091,"Johnson County, KS",29,591178,4.9,0.10%
20173,"Sedgwick County, KS",37,513687,7.2,0.10%
20177,"Shawnee County, KS",11,178187,Unreliable,0.00%
21005,"Anderson County, KY",10,22544,Unreliable,0.00%
21015,"Boone County, KY",36,130728,27.5,0.10%
21019,"Boyd County, KY",27,47979,56.3,0.10%
21029,"Bullitt County, KY",29,80246,36.1,0.10%
21037,"Campbell County, KY",65,92488,70.3,0.10%
21043,"Carter County, KY",12,27144,Unreliable,0.00%
21049,"Clark County, KY",11,36046,Unreliable,0.00%
21067,"Fayette County, KY",113,321959,35.1,0.20%
21071,"Floyd County, KY",10,36271,Unreliable,0.00%
21073,"Franklin County, KY",21,50485,41.6,0.00%
21081,"Grant County, KY",10,24984,Unreliable,0.00%
21089,"Greenup County, KY",11,35518,Unreliable,0.00%
21093,"Hardin County, KY",16,108071,Unreliable,0.00%
21111,"Jefferson County, KY",256,771158,33.2,0.50%
21113,"Jessamine County, KY",29,53375,54.3,0.10%
21117,"Kenton County, KY",102,165399,61.7,0.20%
21121,"Knox County, KY",10,31227,Unreliable,0.00%
21151,"Madison County, KY",38,91226,41.7,0.10%
21161,"Mason County, KY",10,17174,Unreliable,0.00%
21173,"Montgomery County, KY",11,27928,Unreliable,0.00%
21179,"Nelson County, KY",14,45640,Unreliable,0.00%
21195,"Pike County, KY",10,58883,Unreliable,0.00%
21199,"Pulaski County, KY",10,64449,Unreliable,0.00%
21209,"Scott County, KY",12,54873,Unreliable,0.00%
21227,"Warren County, KY",10,128845,Unreliable,0.00%
22017,"Caddo Parish, LA",11,246581,Unreliable,0.00%
22033,"East Baton Rouge Parish, LA",20,446268,4.5,0.00%
22051,"Jefferson Parish, LA",136,439036,31,0.30%
22055,"Lafayette Parish, LA",10,242485,Unreliable,0.00%
22063,"Livingston Parish, LA",18,138228,Unreliable,0.00%
22071,"Orleans Parish, LA",30,393292,7.6,0.10%
22079,"Rapides Parish, LA",10,131648,Unreliable,0.00%
22103,"St. Tammany Parish, LA",64,256327,25,0.10%
22117,"Washington Parish, LA",27,46633,57.9,0.10%
23001,"Androscoggin County, ME",18,107651,Unreliable,0.00%
23005,"Cumberland County, ME",82,292500,28,0.20%
23011,"Kennebec County, ME",49,121821,40.2,0.10%
23019,"Penobscot County, ME",50,151957,32.9,0.10%
23025,"Somerset County, ME",17,50626,Unreliable,0.00%
23029,"Washington County, ME",14,31593,Unreliable,0.00%
23031,"York County, ME",77,204191,37.7,0.20%
24001,"Allegany County, MD",36,71615,50.3,0.10%
24003,"Anne Arundel County, MD",228,573235,39.8,0.50%
24005,"Baltimore County, MD",382,832468,45.9,0.80%
24009,"Calvert County, MD",30,91502,32.8,0.10%
24011,"Caroline County, MD",15,33193,Unreliable,0.00%
24013,"Carroll County, MD",56,167781,33.4,0.10%
24015,"Cecil County, MD",62,102746,60.3,0.10%
24017,"Charles County, MD",42,159700,26.3,0.10%
24019,"Dorchester County, MD",10,32162,Unreliable,0.00%
24021,"Frederick County, MD",73,252022,29,0.20%
24025,"Harford County, MD",103,252160,40.8,0.20%
24027,"Howard County, MD",56,321113,17.4,0.10%
24031,"Montgomery County, MD",108,1058810,10.2,0.20%
24033,"Prince George's County, MD",125,912756,13.7,0.30%
24037,"St. Mary's County, MD",37,112667,32.8,0.10%
24043,"Washington County, MD",51,150578,33.9,0.10%
24045,"Wicomico County, MD",28,102923,27.2,0.10%
24047,"Worcester County, MD",14,51690,Unreliable,0.00%
24510,"Baltimore city, MD",499,611648,81.6,1.00%
25001,"Barnstable County, MA",66,213444,30.9,0.10%
25003,"Berkshire County, MA",27,126313,21.4,0.10%
25005,"Bristol County, MA",231,561483,41.1,0.50%
25009,"Essex County, MA",285,785205,36.3,0.60%
25011,"Franklin County, MA",10,70702,Unreliable,0.00%
25013,"Hampden County, MA",111,469818,23.6,0.20%
25015,"Hampshire County, MA",27,161834,16.7,0.10%
25017,"Middlesex County, MA",322,1602947,20.1,0.70%
25021,"Norfolk County, MA",157,700322,22.4,0.30%
25023,"Plymouth County, MA",190,515142,36.9,0.40%
25025,"Suffolk County, MA",233,797939,29.2,0.50%
25027,"Worcester County, MA",235,826116,28.4,0.50%
26021,"Berrien County, MI",21,154259,13.6,0.00%
26025,"Calhoun County, MI",44,134128,32.8,0.10%
26045,"Eaton County, MI",13,109027,Unreliable,0.00%
26049,"Genesee County, MI",131,407385,32.2,0.30%
26055,"Grand Traverse County, MI",18,91807,Unreliable,0.00%
26065,"Ingham County, MI",69,290186,23.8,0.10%
26067,"Ionia County, MI",10,64291,Unreliable,0.00%
26077,"Kalamazoo County, MI",45,262985,17.1,0.10%
26081,"Kent County, MI",101,648594,15.6,0.20%
26087,"Lapeer County, MI",18,88174,Unreliable,0.00%
26091,"Lenawee County, MI",13,98623,Unreliable,0.00%
26093,"Livingston County, MI",38,189651,20,0.10%
26099,"Macomb County, MI",316,871375,36.3,0.70%
26115,"Monroe County, MI",48,149649,32.1,0.10%
26117,"Montcalm County, MI",12,63550,Unreliable,0.00%
26121,"Muskegon County, MI",32,173693,18.4,0.10%
26125,"Oakland County, MI",56,1250836,4.5,0.10%
26139,"Ottawa County, MI",43,286383,15,0.10%
26145,"Saginaw County, MI",37,191934,19.3,0.10%
26147,"St. Clair County, MI",50,159350,31.4,0.10%
26155,"Shiawassee County, MI",21,68446,30.7,0.00%
26159,"Van Buren County, MI",19,75353,Unreliable,0.00%
26161,"Washtenaw County, MI",61,367627,16.6,0.10%
26163,"Wayne County, MI",631,1753616,36,1.30%
27003,"Anoka County, MN",31,351373,8.8,0.10%
27037,"Dakota County, MN",27,421751,6.4,0.10%
27053,"Hennepin County, MN",151,1252024,12.1,0.30%
27109,"Olmsted County, MN",11,154930,Unreliable,0.00%
27123,"Ramsey County, MN",45,547974,8.2,0.10%
27137,"St. Louis County, MN",22,200000,11,0.00%
27163,"Washington County, MN",15,256348,Unreliable,0.00%
28033,"DeSoto County, MS",29,178751,16.2,0.10%
28047,"Harrison County, MS",33,205027,16.1,0.10%
28049,"Hinds County, MS",18,239497,Unreliable,0.00%
28059,"Jackson County, MS",13,142152,Unreliable,0.00%
28109,"Pearl River County, MS",13,55270,Unreliable,0.00%
28121,"Rankin County, MS",11,152080,Unreliable,0.00%
29019,"Boone County, MO",18,178271,Unreliable,0.00%
29047,"Clay County, MO",15,242874,Unreliable,0.00%
29071,"Franklin County, MO",24,103330,23.2,0.10%
29077,"Greene County, MO",57,289805,19.7,0.10%
29095,"Jackson County, MO",60,698895,8.6,0.10%
29099,"Jefferson County, MO",76,223810,34,0.20%
29113,"Lincoln County, MO",12,56183,Unreliable,0.00%
29161,"Phelps County, MO",10,44744,Unreliable,0.00%
29183,"St. Charles County, MO",79,395504,20,0.20%
29189,"St. Louis County, MO",249,996726,25,0.50%
29510,"St. Louis city, MO",187,308626,60.6,0.40%
31055,"Douglas County, NE",30,561620,5.3,0.10%
31109,"Lancaster County, NE",10,314358,Unreliable,0.00%
32003,"Clark County, NV",298,2204079,13.5,0.60%
32019,"Lyon County, NV",13,54122,Unreliable,0.00%
32031,"Washoe County, NV",78,460587,16.9,0.20%
32510,"Carson City, NV",15,54745,Unreliable,0.00%
33001,"Belknap County, NH",23,60785,37.8,0.00%
33003,"Carroll County, NH",16,48064,Unreliable,0.00%
33005,"Cheshire County, NH",22,75960,29,0.00%
33007,"Coos County, NH",11,31634,Unreliable,0.00%
33009,"Grafton County, NH",17,89386,Unreliable,0.00%
33011,"Hillsborough County, NH",163,409697,39.8,0.30%
33013,"Merrimack County, NH",34,149216,22.8,0.10%
33015,"Rockingham County, NH",90,306363,29.4,0.20%
33017,"Strafford County, NH",48,128613,37.3,0.10%
34001,"Atlantic County, NJ",122,269918,45.2,0.30%
34003,"Bergen County, NJ",124,948406,13.1,0.30%
34005,"Burlington County, NJ",122,448596,27.2,0.30%
